#blueprint activity materialType materialQuantity productType productQuantity
808 manufacturing 34 496 207 100
808 manufacturing 35 220 207 100
808 manufacturing 38 2 207 100
809 invention 20418 1 24512 10
809 invention 20420 1 24512 10
809 invention 20418 1 24516 10
809 invention 20420 1 24516 10
809 manufacturing 34 716 208 100
809 manufacturing 35 2 208 100
809 manufacturing 36 6 208 100
809 manufacturing 38 3 208 100
810 invention 20418 1 2630 10
810 invention 20420 1 2630 10
810 invention 20418 1 24514 10
810 invention 20420 1 24514 10
810 manufacturing 34 820 209 100
810 manufacturing 38 2 209 100
811 invention 20418 1 24496 10
811 invention 20420 1 24496 10
811 invention 20418 1 24502 10
811 invention 20420 1 24502 10
811 manufacturing 34 69 210 100
811 manufacturing 35 43 210 100
811 manufacturing 36 2 210 100
812 invention 20418 1 2648 10
812 invention 20420 1 2648 10
812 invention 20418 1 24500 10
812 invention 20420 1 24500 10
812 manufacturing 34 58 211 100
812 manufacturing 35 72 211 100
813 invention 20418 1 2614 10
813 invention 20420 1 2614 10
813 invention 20418 1 24506 10
813 invention 20420 1 24506 10
813 manufacturing 34 150 212 100
813 manufacturing 35 18 212 100
813 manufacturing 36 12 212 100
814 invention 20418 1 24498 10
814 invention 20420 1 24498 10
814 invention 20418 1 24504 10
814 invention 20420 1 24504 10
814 manufacturing 34 54 213 100
814 manufacturing 35 16 213 100
814 manufacturing 36 6 213 100
819 invention 20424 1 2874 10
819 invention 20423 1 2874 10
819 manufacturing 34 231 484 1
819 manufacturing 35 220 484 1
820 invention 20424 1 16032 10
820 invention 20423 1 16032 10
820 manufacturing 34 996 485 1
820 manufacturing 35 300 485 1
820 manufacturing 39 2 485 1
821 invention 20424 1 2890 10
821 invention 20423 1 2890 10
821 manufacturing 34 1667 486 1
821 manufacturing 35 144 486 1
821 manufacturing 36 83 486 1
821 manufacturing 37 22 486 1
822 invention 20424 1 2906 10
822 invention 20423 1 2906 10
822 manufacturing 34 1596 487 1
822 manufacturing 35 690 487 1
822 manufacturing 36 144 487 1
823 invention 20424 1 2978 10
823 invention 20423 1 2978 10
823 manufacturing 34 2729 488 1
823 manufacturing 35 148 488 1
823 manufacturing 36 171 488 1
823 manufacturing 39 4 488 1
824 invention 20424 2 2938 10
824 invention 20423 2 2938 10
824 manufacturing 34 827 489 1
824 manufacturing 35 598 489 1
824 manufacturing 36 493 489 1
825 invention 20424 2 2898 10
825 invention 20423 2 2898 10
825 manufacturing 40 2 490 1
825 manufacturing 34 4453 490 1
825 manufacturing 35 1287 490 1
825 manufacturing 36 1199 490 1
826 invention 20424 2 2914 10
826 invention 20423 2 2914 10
826 manufacturing 34 4529 491 1
826 manufacturing 35 1643 491 1
826 manufacturing 36 2413 491 1
826 manufacturing 38 1 491 1
827 invention 20424 2 2922 10
827 invention 20423 2 2922 10
827 manufacturing 34 9089 492 1
827 manufacturing 35 2786 492 1
827 manufacturing 36 2827 492 1
827 manufacturing 37 14 492 1
827 manufacturing 38 1 492 1
828 invention 20424 2 2970 10
828 invention 20423 2 2970 10
828 manufacturing 34 9133 493 1
828 manufacturing 35 2981 493 1
828 manufacturing 36 3599 493 1
828 manufacturing 37 2 493 1
828 manufacturing 38 18 493 1
829 invention 20424 3 2946 10
829 invention 20423 3 2946 10
829 manufacturing 40 8 494 1
829 manufacturing 34 13684 494 1
829 manufacturing 35 4117 494 1
829 manufacturing 36 3851 494 1
829 manufacturing 39 2 494 1
830 invention 20424 3 2954 10
830 invention 20423 3 2954 10
830 manufacturing 34 45551 495 1
830 manufacturing 35 12150 495 1
830 manufacturing 36 6060 495 1
830 manufacturing 37 1596 495 1
830 manufacturing 38 126 495 1
830 manufacturing 39 16 495 1
831 invention 20424 3 16029 10
831 invention 20423 3 16029 10
831 manufacturing 34 68307 496 1
831 manufacturing 35 17839 496 1
831 manufacturing 36 7197 496 1
831 manufacturing 37 1951 496 1
831 manufacturing 38 234 496 1
831 manufacturing 39 12 496 1
831 manufacturing 40 26 496 1
832 invention 20424 3 2866 10
832 invention 20423 3 2866 10
832 manufacturing 34 91067 497 1
832 manufacturing 35 23527 497 1
832 manufacturing 36 8613 497 1
832 manufacturing 37 2294 497 1
832 manufacturing 38 324 497 1
832 manufacturing 39 18 497 1
832 manufacturing 40 52 497 1
833 invention 20424 3 2962 10
833 invention 20423 3 2962 10
833 manufacturing 34 113880 498 1
833 manufacturing 35 29214 498 1
833 manufacturing 36 9747 498 1
833 manufacturing 37 2650 498 1
833 manufacturing 38 411 498 1
833 manufacturing 39 42 498 1
833 manufacturing 40 74 498 1
834 invention 20411 1 3018 10
834 invention 20413 1 3018 10
834 manufacturing 34 231 450 1
834 manufacturing 35 220 450 1
835 invention 20411 1 3002 10
835 invention 20413 1 3002 10
835 manufacturing 34 1102 451 1
835 manufacturing 35 113 451 1
835 manufacturing 36 4 451 1
835 manufacturing 38 2 451 1
835 manufacturing 39 2 451 1
836 invention 20411 1 2994 10
836 invention 20413 1 2994 10
836 manufacturing 34 1742 452 1
836 manufacturing 35 6 452 1
836 manufacturing 36 78 452 1
836 manufacturing 37 13 452 1
836 manufacturing 39 2 452 1
837 invention 20411 1 3042 10
837 invention 20413 1 3042 10
837 manufacturing 34 1556 453 1
837 manufacturing 35 1158 453 1
837 manufacturing 36 3 453 1
837 manufacturing 37 7 453 1
838 invention 20411 1 3034 10
838 invention 20413 1 3034 10
838 manufacturing 34 2200 454 1
838 manufacturing 35 809 454 1
838 manufacturing 36 21 454 1
838 manufacturing 37 4 454 1
838 manufacturing 39 4 454 1
839 invention 20411 2 3286 10
839 invention 20413 2 3286 10
839 manufacturing 34 9 455 1
839 manufacturing 35 598 455 1
839 manufacturing 36 493 455 1
840 invention 20411 2 3513 10
840 invention 20413 2 3513 10
840 manufacturing 40 2 456 1
840 manufacturing 34 4453 456 1
840 manufacturing 35 1287 456 1
840 manufacturing 36 1199 456 1
841 invention 20411 2 3010 10
841 invention 20413 2 3010 10
841 manufacturing 34 4529 457 1
841 manufacturing 35 1643 457 1
841 manufacturing 36 2413 457 1
841 manufacturing 38 1 457 1
842 invention 20411 2 3521 10
842 invention 20413 2 3521 10
842 manufacturing 34 9089 458 1
842 manufacturing 35 2786 458 1
842 manufacturing 36 2827 458 1
842 manufacturing 37 14 458 1
842 manufacturing 38 1 458 1
843 invention 20411 2 3026 10
843 invention 20413 2 3026 10
843 manufacturing 34 9133 459 1
843 manufacturing 35 2981 459 1
843 manufacturing 36 3599 459 1
843 manufacturing 37 2 459 1
843 manufacturing 38 18 459 1
844 invention 20411 3 4148 10
844 invention 20413 3 4148 10
844 manufacturing 40 8 460 1
844 manufacturing 34 13684 460 1
844 manufacturing 35 4117 460 1
844 manufacturing 36 3851 460 1
844 manufacturing 39 2 460 1
845 invention 20411 3 2986 10
845 invention 20413 3 2986 10
845 manufacturing 34 45551 461 1
845 manufacturing 35 12150 461 1
845 manufacturing 36 6060 461 1
845 manufacturing 37 1596 461 1
845 manufacturing 38 126 461 1
845 manufacturing 39 16 461 1
846 invention 20411 3 3058 10
846 invention 20413 3 3058 10
846 manufacturing 34 68307 462 1
846 manufacturing 35 17839 462 1
846 manufacturing 36 7197 462 1
846 manufacturing 37 1951 462 1
846 manufacturing 38 234 462 1
846 manufacturing 39 12 462 1
846 manufacturing 40 26 462 1
847 invention 20411 3 3050 10
847 invention 20413 3 3050 10
847 manufacturing 34 91067 463 1
847 manufacturing 35 23527 463 1
847 manufacturing 36 8613 463 1
847 manufacturing 37 2294 463 1
847 manufacturing 38 324 463 1
847 manufacturing 39 18 463 1
847 manufacturing 40 52 463 1
848 invention 20411 3 3066 10
848 invention 20413 3 3066 10
848 manufacturing 34 113880 464 1
848 manufacturing 35 29214 464 1
848 manufacturing 36 9747 464 1
848 manufacturing 37 2650 464 1
848 manufacturing 38 411 464 1
848 manufacturing 39 42 464 1
848 manufacturing 40 74 464 1
879 invention 20424 1 12634 10
879 invention 20423 1 12634 10
879 manufacturing 34 27 178 100
879 manufacturing 35 21 178 100
880 invention 20424 1 12626 10
880 invention 20423 1 12626 10
880 manufacturing 34 38 179 100
880 manufacturing 35 32 179 100
881 manufacturing 34 58 180 100
881 manufacturing 35 23 180 100
881 manufacturing 37 1 180 100
882 invention 20423 1 12609 10
882 invention 20424 1 12609 10
882 manufacturing 34 118 181 100
882 manufacturing 36 1 181 100
882 manufacturing 37 2 181 100
883 invention 20424 1 12632 10
883 invention 20423 1 12632 10
883 manufacturing 34 58 182 100
883 manufacturing 35 64 182 100
883 manufacturing 36 1 182 100
884 manufacturing 34 162 183 100
884 manufacturing 35 3 183 100
884 manufacturing 37 3 183 100
885 manufacturing 34 164 184 100
885 manufacturing 35 17 184 100
885 manufacturing 37 3 184 100
886 manufacturing 34 204 185 100
886 manufacturing 35 17 185 100
886 manufacturing 38 1 185 100
887 invention 20424 1 12772 10
887 invention 20423 1 12772 10
887 manufacturing 34 164 186 100
887 manufacturing 35 17 186 100
887 manufacturing 37 3 186 100
888 invention 20424 1 12774 10
888 invention 20423 1 12774 10
888 manufacturing 34 116 187 100
888 manufacturing 35 129 187 100
888 manufacturing 36 2 187 100
889 manufacturing 34 139 188 100
889 manufacturing 35 194 188 100
890 invention 20423 1 12778 10
890 invention 20424 1 12778 10
890 manufacturing 34 290 189 100
890 manufacturing 35 119 189 100
890 manufacturing 36 14 189 100
890 manufacturing 37 2 189 100
891 invention 20424 1 12768 10
891 invention 20423 1 12768 10
891 manufacturing 34 288 190 100
891 manufacturing 35 254 190 100
892 manufacturing 34 239 191 100
892 manufacturing 35 318 191 100
892 manufacturing 36 1 191 100
893 manufacturing 34 668 192 100
893 manufacturing 35 36 192 100
893 manufacturing 36 4 192 100
893 manufacturing 37 14 192 100
894 manufacturing 34 449 193 100
894 manufacturing 35 417 193 100
894 manufacturing 36 7 193 100
895 invention 20424 1 12766 10
895 invention 20423 1 12766 10
895 manufacturing 34 249 194 100
895 manufacturing 35 198 194 100
895 manufacturing 37 1 194 100
896 invention 20424 1 12776 10
896 invention 20423 1 12776 10
896 manufacturing 34 520 195 100
896 manufacturing 35 100 195 100
896 manufacturing 36 2 195 100
896 manufacturing 37 2 195 100
896 manufacturing 38 2 195 100
897 manufacturing 34 511 196 100
897 manufacturing 35 428 196 100
898 invention 20423 1 12780 10
898 invention 20424 1 12780 10
898 manufacturing 34 458 197 100
898 manufacturing 35 580 197 100
899 invention 20424 1 12762 10
899 invention 20423 1 12762 10
899 manufacturing 34 1040 198 100
899 manufacturing 35 156 198 100
899 manufacturing 36 104 198 100
900 manufacturing 34 1236 199 100
900 manufacturing 35 223 199 100
900 manufacturing 36 110 199 100
901 manufacturing 34 1529 200 100
901 manufacturing 36 89 200 100
901 manufacturing 37 23 200 100
902 manufacturing 34 1778 201 100
902 manufacturing 35 127 201 100
902 manufacturing 36 89 201 100
902 manufacturing 37 29 201 100
936 invention 20411 2 11185 1
936 invention 20421 2 11185 1
936 invention 20411 2 11187 1
936 invention 20421 2 11187 1
936 manufacturing 34 22222 589 1
936 manufacturing 35 4444 589 1
936 manufacturing 36 1667 589 1
936 manufacturing 37 333 589 1
936 manufacturing 38 67 589 1
936 manufacturing 39 12 589 1
937 invention 20416 2 12041 1
937 invention 20421 2 12041 1
937 invention 20416 2 39580 1
937 invention 20421 2 39580 1
937 manufacturing 39 2 590 1
937 manufacturing 40 2 590 1
937 manufacturing 38 6 590 1
937 manufacturing 37 11 590 1
937 manufacturing 36 2778 590 1
937 manufacturing 35 12222 590 1
937 manufacturing 34 16667 590 1
938 manufacturing 34 22222 591 1
938 manufacturing 35 2444 591 1
938 manufacturing 36 4444 591 1
938 manufacturing 37 222 591 1
938 manufacturing 38 44 591 1
938 manufacturing 39 22 591 1
939 invention 20410 2 40301 1
939 invention 20416 2 40301 1
939 manufacturing 39 12 592 1
939 manufacturing 38 33 592 1
939 manufacturing 37 278 592 1
939 manufacturing 36 3556 592 1
939 manufacturing 35 4667 592 1
939 manufacturing 34 18889 592 1
940 invention 20424 2 11378 1
940 invention 20410 2 11378 1
940 manufacturing 34 23333 593 1
940 manufacturing 35 6333 593 1
940 manufacturing 36 3000 593 1
940 manufacturing 37 333 593 1
940 manufacturing 38 78 593 1
940 manufacturing 39 22 593 1
940 manufacturing 40 2 593 1
941 invention 20424 2 12043 1
941 invention 20410 2 12043 1
941 invention 20424 2 12045 1
941 invention 20410 2 12045 1
941 manufacturing 34 13333 594 1
941 manufacturing 35 11111 594 1
941 manufacturing 36 4000 594 1
941 manufacturing 37 33 594 1
941 manufacturing 38 17 594 1
941 manufacturing 39 12 594 1
944 invention 20424 2 11366 1
944 invention 20421 2 11366 1
944 invention 20424 2 11394 1
944 invention 20421 2 11394 1
944 manufacturing 34 22778 597 1
944 manufacturing 35 6111 597 1
944 manufacturing 36 2889 597 1
944 manufacturing 37 400 597 1
944 manufacturing 38 89 597 1
944 manufacturing 39 34 597 1
945 invention 20424 2 12035 1
945 invention 20172 2 12035 1
945 manufacturing 34 17778 598 1
945 manufacturing 35 15000 598 1
945 manufacturing 36 2778 598 1
945 manufacturing 37 111 598 1
945 manufacturing 38 2 598 1
945 manufacturing 39 4 598 1
945 manufacturing 40 2 598 1
946 invention 20172 2 40302 1
946 invention 20416 2 40302 1
946 manufacturing 40 2 599 1
946 manufacturing 39 6 599 1
946 manufacturing 38 22 599 1
946 manufacturing 37 167 599 1
946 manufacturing 35 3333 599 1
946 manufacturing 36 4444 599 1
946 manufacturing 34 17778 599 1
949 invention 20424 2 12031 1
949 invention 25887 2 12031 1
949 manufacturing 34 17778 602 1
949 manufacturing 35 5556 602 1
949 manufacturing 36 2889 602 1
949 manufacturing 37 1111 602 1
949 manufacturing 38 56 602 1
949 manufacturing 39 22 602 1
950 invention 20424 2 11380 1
950 invention 25887 2 11380 1
950 invention 20424 2 11382 1
950 invention 25887 2 11382 1
950 manufacturing 34 21111 603 1
950 manufacturing 35 8889 603 1
950 manufacturing 36 3111 603 1
950 manufacturing 37 589 603 1
950 manufacturing 38 2 603 1
950 manufacturing 39 4 603 1
950 manufacturing 40 4 603 1
952 invention 20414 2 11193 1
952 invention 25887 2 11193 1
952 manufacturing 34 13333 605 1
952 manufacturing 35 11111 605 1
952 manufacturing 36 2444 605 1
952 manufacturing 37 556 605 1
952 manufacturing 38 56 605 1
952 manufacturing 39 16 605 1
952 manufacturing 40 8 605 1
954 invention 20414 2 11173 1
954 invention 20410 2 11173 1
954 manufacturing 34 16667 607 1
954 manufacturing 35 10556 607 1
954 manufacturing 36 2556 607 1
954 manufacturing 37 278 607 1
954 manufacturing 38 50 607 1
954 manufacturing 39 44 607 1
954 manufacturing 40 4 607 1
955 invention 20411 2 11201 1
955 invention 20410 2 11201 1
955 invention 20411 2 11203 1
955 invention 20410 2 11203 1
955 manufacturing 34 20556 608 1
955 manufacturing 35 3889 608 1
955 manufacturing 36 2222 608 1
955 manufacturing 37 278 608 1
955 manufacturing 38 56 608 1
955 manufacturing 39 12 608 1
956 invention 20418 2 11175 1
956 invention 20410 2 11175 1
956 manufacturing 34 15556 609 1
956 manufacturing 35 13333 609 1
956 manufacturing 36 2222 609 1
956 manufacturing 37 56 609 1
956 manufacturing 38 2 609 1
956 manufacturing 39 4 609 1
967 manufacturing 34 2778 672 1
968 invention 20424 8 11996 1
968 invention 25887 8 11996 1
968 invention 20424 8 12012 1
968 invention 25887 8 12012 1
968 manufacturing 34 611111 623 1
968 manufacturing 35 155556 623 1
968 manufacturing 36 40000 623 1
968 manufacturing 37 9889 623 1
968 manufacturing 38 2667 623 1
968 manufacturing 39 1266 623 1
968 manufacturing 40 388 623 1
969 invention 20424 8 12018 1
969 invention 20421 8 12018 1
969 invention 20424 8 12020 1
969 invention 20421 8 12020 1
969 manufacturing 34 633333 624 1
969 manufacturing 35 144444 624 1
969 manufacturing 36 42222 624 1
969 manufacturing 37 10000 624 1
969 manufacturing 38 2556 624 1
969 manufacturing 39 1222 624 1
969 manufacturing 40 322 624 1
970 invention 20416 8 11988 1
970 invention 20421 8 11988 1
970 manufacturing 34 577778 625 1
970 manufacturing 35 115556 625 1
970 manufacturing 36 33333 625 1
970 manufacturing 37 8667 625 1
970 manufacturing 38 1444 625 1
970 manufacturing 39 778 625 1
970 manufacturing 40 134 625 1
971 invention 20424 8 12006 1
971 invention 20410 8 12006 1
971 manufacturing 34 622222 626 1
971 manufacturing 35 133333 626 1
971 manufacturing 36 41111 626 1
971 manufacturing 37 10111 626 1
971 manufacturing 38 2889 626 1
971 manufacturing 39 1312 626 1
971 manufacturing 40 356 626 1
972 invention 20411 8 12022 1
972 invention 20410 8 12022 1
972 invention 20411 8 12024 1
972 invention 20410 8 12024 1
972 manufacturing 34 577778 627 1
972 manufacturing 35 144444 627 1
972 manufacturing 36 38889 627 1
972 manufacturing 37 10556 627 1
972 manufacturing 38 3000 627 1
972 manufacturing 39 1134 627 1
972 manufacturing 40 288 627 1
973 invention 20418 8 11966 1
973 invention 20421 8 11966 1
973 invention 20418 8 20126 1
973 invention 20421 8 20126 1
973 manufacturing 34 444444 628 1
973 manufacturing 35 100000 628 1
973 manufacturing 36 41111 628 1
973 manufacturing 37 8889 628 1
973 manufacturing 38 2222 628 1
973 manufacturing 39 1112 628 1
973 manufacturing 40 222 628 1
974 invention 20424 8 12014 1
974 invention 20172 8 12014 1
974 invention 20424 8 12016 1
974 invention 20172 8 12016 1
974 manufacturing 34 611111 629 1
974 manufacturing 35 166667 629 1
974 manufacturing 36 38889 629 1
974 manufacturing 37 10222 629 1
974 manufacturing 38 2556 629 1
974 manufacturing 39 1044 629 1
974 manufacturing 40 422 629 1
975 invention 20418 8 11962 1
975 invention 20172 8 11962 1
975 invention 20418 8 11964 1
975 invention 20172 8 11964 1
975 manufacturing 34 433333 630 1
975 manufacturing 35 101111 630 1
975 manufacturing 36 43333 630 1
975 manufacturing 37 9000 630 1
975 manufacturing 38 2222 630 1
975 manufacturing 39 1000 630 1
975 manufacturing 40 178 630 1
976 invention 20416 8 11979 1
976 invention 20172 8 11979 1
976 manufacturing 34 533333 631 1
976 manufacturing 35 140000 631 1
976 manufacturing 36 34444 631 1
976 manufacturing 37 8556 631 1
976 manufacturing 38 1222 631 1
976 manufacturing 39 822 631 1
976 manufacturing 40 156 631 1
977 invention 20418 8 11958 1
977 invention 25887 8 11958 1
977 invention 20418 8 11960 1
977 invention 25887 8 11960 1
977 manufacturing 34 411111 632 1
977 manufacturing 35 95556 632 1
977 manufacturing 36 40000 632 1
977 manufacturing 37 9444 632 1
977 manufacturing 38 2444 632 1
977 manufacturing 39 1222 632 1
977 manufacturing 40 334 632 1
978 invention 20418 8 11970 1
978 invention 20410 8 11970 1
978 invention 20418 8 11972 1
978 invention 20410 8 11972 1
978 manufacturing 34 422222 633 1
978 manufacturing 35 96667 633 1
978 manufacturing 36 43333 633 1
978 manufacturing 37 10000 633 1
978 manufacturing 38 2111 633 1
978 manufacturing 39 1088 633 1
978 manufacturing 40 200 633 1
979 invention 20416 8 11990 1
979 invention 20410 8 11990 1
979 manufacturing 34 566667 634 1
979 manufacturing 35 134444 634 1
979 manufacturing 36 32222 634 1
979 manufacturing 37 8889 634 1
979 manufacturing 38 1111 634 1
979 manufacturing 39 800 634 1
979 manufacturing 40 200 634 1
983 invention 20415 8 12730 1
983 invention 25887 8 12730 1
983 manufacturing 34 71111 648 1
983 manufacturing 35 12667 648 1
983 manufacturing 36 6667 648 1
983 manufacturing 37 444 648 1
983 manufacturing 38 222 648 1
983 manufacturing 39 66 648 1
983 manufacturing 40 12 648 1
984 invention 20415 8 12732 1
984 invention 25887 8 12732 1
984 manufacturing 34 59444 649 1
984 manufacturing 35 15333 649 1
984 manufacturing 36 5833 649 1
984 manufacturing 37 1389 649 1
984 manufacturing 38 278 649 1
984 manufacturing 39 88 649 1
984 manufacturing 40 14 649 1
985 invention 20415 8 12744 1
985 invention 20410 8 12744 1
985 manufacturing 34 53333 650 1
985 manufacturing 35 13444 650 1
985 manufacturing 36 5111 650 1
985 manufacturing 37 356 650 1
985 manufacturing 38 244 650 1
985 manufacturing 39 56 650 1
985 manufacturing 40 22 650 1
986 manufacturing 34 90000 651 1
986 manufacturing 35 10556 651 1
986 manufacturing 36 4111 651 1
986 manufacturing 37 578 651 1
986 manufacturing 38 200 651 1
986 manufacturing 39 34 651 1
986 manufacturing 40 26 651 1
987 invention 20415 8 12748 1
987 invention 20172 8 12748 1
987 manufacturing 34 73333 652 1
987 manufacturing 35 18889 652 1
987 manufacturing 36 7333 652 1
987 manufacturing 37 1233 652 1
987 manufacturing 38 344 652 1
987 manufacturing 39 112 652 1
987 manufacturing 40 18 652 1
988 invention 20415 8 12736 1
988 invention 20172 8 12736 1
988 manufacturing 34 82222 653 1
988 manufacturing 35 9333 653 1
988 manufacturing 36 3889 653 1
988 manufacturing 37 667 653 1
988 manufacturing 38 133 653 1
988 manufacturing 39 88 653 1
988 manufacturing 40 12 653 1
989 manufacturing 34 71111 654 1
989 manufacturing 35 15889 654 1
989 manufacturing 36 4889 654 1
989 manufacturing 37 700 654 1
989 manufacturing 38 194 654 1
989 manufacturing 39 66 654 1
989 manufacturing 40 22 654 1
990 invention 20415 8 12746 1
990 invention 20410 8 12746 1
990 manufacturing 34 69444 655 1
990 manufacturing 35 11667 655 1
990 manufacturing 36 4556 655 1
990 manufacturing 37 611 655 1
990 manufacturing 38 189 655 1
990 manufacturing 39 56 655 1
990 manufacturing 40 12 655 1
991 manufacturing 34 67778 656 1
991 manufacturing 35 12222 656 1
991 manufacturing 36 5111 656 1
991 manufacturing 37 711 656 1
991 manufacturing 38 222 656 1
991 manufacturing 39 56 656 1
991 manufacturing 40 16 656 1
992 manufacturing 34 74444 657 1
992 manufacturing 35 13778 657 1
992 manufacturing 36 8667 657 1
992 manufacturing 37 1167 657 1
992 manufacturing 38 333 657 1
992 manufacturing 39 100 657 1
992 manufacturing 40 22 657 1
994 invention 20418 32 22437 1
994 invention 25887 32 22437 1
994 manufacturing 34 10649667 640 1
994 manufacturing 35 2263111 640 1
994 manufacturing 36 607000 640 1
994 manufacturing 37 166200 640 1
994 manufacturing 38 36011 640 1
994 manufacturing 39 16066 640 1
994 manufacturing 40 6688 640 1
